index,sequence_id,segment_id_sequence_start,segment_id_sequence_end,summary,title,segment_start_timestamp,segment_end_timestamp,segment_start_timestamp_in_seconds,segment_end_timestamp_in_seconds,video_id,activity_type,activity_reasoning,target_person_type,target_person_reasoning,activity,Moment_url
vi42vP3lFwcaZP6hH82M5wZE_Feedback_3,3,44,52,"Soham explains the complexities of smoking cessation in COPD management, indicating that multiple stakeholders are involved in driving the message.",Smoking Cessation Discussion,14:13.788,16:54.813,853,1014,vi42vP3lFwcaZP6hH82M5wZE,Guidance,"Kanishka Rao is seeking input and clarification on the COPD dashboard and the importance of smoking cessation, indicating he is looking for guidance and advice from others.",Receiving Feedback,"Kanishka Rao is primarily receiving feedback in this case as he asks for comments on the COPD dashboard and seeks clarification on the importance of smoking cessation, indicating he is looking for guidance and input from others.",Feedback,https://embed.api.video/vod/vi42vP3lFwcaZP6hH82M5wZE#;t=853
vi42vP3lFwcaZP6hH82M5wZE_Feedback_4,4,54,64,"Kanishka seeks advice on how to approach health systems regarding their asthma solution, and Soham suggests framing it as a broader chronic disease management platform.",Approach to Health Systems,18:50.286,21:39.713,1130,1299,vi42vP3lFwcaZP6hH82M5wZE,Guidance,"Soham Shah is providing Kanishka Rao with advice on how to approach potential clients and pitch their solutions, which Kanishka acknowledges and responds positively to.",Receiving Feedback,"Kanishka Rao is primarily receiving feedback in this case as Soham Shah is providing guidance and suggestions about how to approach potential clients, and Kanishka is responding with agreement and follow-up questions.",Feedback,https://embed.api.video/vod/vi42vP3lFwcaZP6hH82M5wZE#;t=1130
vi42vP3lFwcaZP6hH82M5wZE_Feedback_5,5,75,75,"Soham advises Kanishka on how to pitch their pulmonary disease management solution, emphasizing the importance of showcasing real-world evidence and seeking partners for expansion.",Pitching the Solution,23:38.513,23:28.813,1418,1408,vi42vP3lFwcaZP6hH82M5wZE,Not Feedback,The communication is a general statement about a pulmonary disease management solution and does not involve Kanishka Rao or any feedback process.,Not Involved,"Kanishka Rao is not mentioned in this interaction, and there is no indication of their involvement in the feedback process.",Feedback,https://embed.api.video/vod/vi42vP3lFwcaZP6hH82M5wZE#;t=1418
vi7YPIONLTIkuIc1odaRFv5_Feedback_1,1,22,24,"Bharat and Kanishka discuss the importance of measuring and improving GDMT, emphasizing its critical role in obtaining a carve-out. Bharat seeks clarity on the priority of these tasks in relation to the carve-out.",Discussion on GDMT and Carve-Out,05:35.743,06:00.423,335,360,vi7YPIONLTIkuIc1odaRFv5,Not Feedback,Kanishka Rao is outlining priorities and discussing strategies without engaging in a feedback exchange.,Not Involved,"Kanishka Rao is not the primary person giving or receiving feedback in this interaction. Instead, he is outlining priorities and discussing strategies without engaging in a feedback exchange.",Feedback,https://embed.api.video/vod/vi7YPIONLTIkuIc1odaRFv5#;t=335
vi7YPIONLTIkuIc1odaRFv5_Feedback_2,2,32,34,"Bill and Kanishka engage in a dialogue about the implications of prioritizing revenue gap closure versus other sales strategies, highlighting the need for alignment on priorities.",Revenue Gap vs. Sales Strategy,08:38.733,09:48.853,518,588,vi7YPIONLTIkuIc1odaRFv5,Not Feedback,Kanishka Rao is discussing and clarifying points related to the meeting agenda without providing or soliciting feedback.,Not Involved,"Kanishka Rao is not primarily giving or receiving feedback in this interaction. Instead, they are discussing and clarifying points related to the meeting agenda without providing or soliciting feedback.",Feedback,https://embed.api.video/vod/vi7YPIONLTIkuIc1odaRFv5#;t=518
vi7YPIONLTIkuIc1odaRFv5_Feedback_3,3,52,54,"Bharat and Kanishka discuss the significance of the carve-out, agreeing that it is the top priority and should take precedence over other initiatives, emphasizing its value to the organization.",Prioritizing the Carve-Out,12:45.748,13:02.836,765,782,vi7YPIONLTIkuIc1odaRFv5,Not Feedback,Kanishka Rao is discussing the implications of closing a deal and the importance of a carve-out without providing or receiving feedback. His statements are focused on the situation rather than on feedback to others.,Not Involved,"Kanishka Rao is not primarily giving or receiving feedback in this interaction. Instead, he is making statements about the situation without providing feedback to others or receiving feedback himself.",Feedback,https://embed.api.video/vod/vi7YPIONLTIkuIc1odaRFv5#;t=765
vi7YPIONLTIkuIc1odaRFv5_Feedback_4,4,60,62,"Sriram and Bharat provide feedback on the need for clarity regarding the tech team's allocation of resources, discussing how to balance ongoing projects with high-priority tasks.",Tech Team Resource Allocation,14:38.462,15:25.490,878,925,vi7YPIONLTIkuIc1odaRFv5,Not Feedback,Kanishka Rao is facilitating the discussion and ensuring alignment among the participants rather than giving or receiving feedback.,Not Involved,"Kanishka Rao is not the primary person giving or receiving feedback in this interaction. Instead, they are facilitating the discussion and ensuring alignment among the participants.",Feedback,https://embed.api.video/vod/vi7YPIONLTIkuIc1odaRFv5#;t=878
vi7YPIONLTIkuIc1odaRFv5_Feedback_5,5,176,218,"Bill leads a discussion on the potential GDPR and HIPAA compliance assessment, weighing its benefits against the time commitment required, and seeking consensus on the next steps.",GDPR and HIPAA Compliance Assessment,37:29.820,48:26.560,2249,2906,vi7YPIONLTIkuIc1odaRFv5,Not Feedback,Kanishka Rao is providing information about the GDPR and HIPAA compliance assessment and discussing its implications without engaging in a feedback exchange.,Not Involved,"Kanishka Rao is not the primary person giving or receiving feedback in this interaction. Instead, he is providing information and asking for clarification without engaging in a feedback exchange.",Feedback,https://embed.api.video/vod/vi7YPIONLTIkuIc1odaRFv5#;t=2249
vi1GPAuvhakg74TUpNoMMUvc_Feedback_1,1,12,12,"Kanishka outlines the priorities for the month, emphasizing the need for feedback from the team on the proposed priorities and their urgency.",Monthly Priorities Discussion,05:47.949,05:47.845,347,347,vi1GPAuvhakg74TUpNoMMUvc,Guidance,"Kanishka Rao is outlining priorities and strategies for the team, suggesting actions to take, such as starting conversations about improving solutions and prioritizing tasks, which aligns with offering advice and direction.",Giving Feedback,"Kanishka Rao is the primary person giving feedback in this case because they are outlining priorities and strategies for the team, indicating what needs to be focused on and suggesting actions to take, such as starting conversations about improving solutions and prioritizing tasks.",Feedback,https://embed.api.video/vod/vi1GPAuvhakg74TUpNoMMUvc#;t=347
vi1GPAuvhakg74TUpNoMMUvc_Feedback_2,2,13,19,"Sriram questions the prioritization of GDMT improvement over SBIR, highlighting the time-sensitive nature of the tasks and the need for clarity on resource allocation.",Resource Allocation Concerns,07:26.553,09:22.153,446,562,vi1GPAuvhakg74TUpNoMMUvc,Guidance,"Kanishka Rao acknowledges Sriram's point by stating 'I think it's a great point' and engages in the discussion, providing insight into the time component and long-term payoff, which serves to guide the conversation towards understanding priorities.",Receiving Feedback,Kanishka Rao is primarily receiving feedback in this case as he acknowledges Sriram's point by stating 'I think it's a great point' and engages in the discussion without providing direct feedback to others.,Feedback,https://embed.api.video/vod/vi1GPAuvhakg74TUpNoMMUvc#;t=446
vi1GPAuvhakg74TUpNoMMUvc_Feedback_3,3,20,22,"Scott expresses concerns about the lack of assigned responsibilities for priority four, indicating a need for accountability in the team's tasks.",Accountability in Priorities,10:41.463,11:35.149,641,695,vi1GPAuvhakg74TUpNoMMUvc,Not Feedback,"Kanishka Rao is not mentioned in the interaction, and there is no indication that he is giving or receiving feedback.",Not Involved,"Kanishka Rao is not mentioned in the interaction, and there is no indication that he is giving or receiving feedback.",Feedback,https://embed.api.video/vod/vi1GPAuvhakg74TUpNoMMUvc#;t=641
vi1GPAuvhakg74TUpNoMMUvc_Feedback_4,4,35,37,"Bill discusses the importance of understanding the timeframes for GDMT improvements, emphasizing the need for strategic prioritization based on urgency and impact.",Strategic Prioritization Discussion,17:09.233,21:53.173,1029,1313,vi1GPAuvhakg74TUpNoMMUvc,Not Feedback,"Kanishka Rao is not the primary person giving or receiving feedback in this interaction. The discussion primarily involves Sriram Krishnan and Bill Landi, with Kanishka Rao making a statement that does not constitute feedback.",Not Involved,"Kanishka Rao is not the primary person giving or receiving feedback in this interaction. The discussion primarily involves Sriram Krishnan and Bill Landi, with Kanishka Rao making a statement that does not constitute feedback.",Feedback,https://embed.api.video/vod/vi1GPAuvhakg74TUpNoMMUvc#;t=1029
vi1GPAuvhakg74TUpNoMMUvc_Feedback_5,5,96,100,"The team reaches a consensus on prioritizing the AZ contract over GDMT improvements, recognizing the critical nature of securing funding for future projects.",Consensus on Prioritization,44:53.248,45:07.346,2693,2707,vi1GPAuvhakg74TUpNoMMUvc,Not Feedback,Kanishka Rao is simply agreeing with the statements made by others without providing any feedback.,Not Involved,Kanishka Rao is not the primary person giving or receiving feedback in this interaction. They are simply agreeing with the statements made by others without providing any feedback.,Feedback,https://embed.api.video/vod/vi1GPAuvhakg74TUpNoMMUvc#;t=2693
vi6aqbh5ikJLOYkqOdO7TvN1_Feedback_1,1,15,19,"Sriram discusses feedback from Madeline regarding a demo and emphasizes the importance of Kanishka's input on the project, indicating a collaborative effort to ensure the demo meets expectations.",Feedback on Demo Preparation,03:42.380,06:48.424,222,408,vi6aqbh5ikJLOYkqOdO7TvN1,Not Feedback,Kanishka Rao is primarily asking for a meeting to review something rather than giving or receiving feedback.,Not Involved,Kanishka Rao is not involved in the interaction as he is primarily asking for a meeting to review something rather than giving or receiving feedback.,Feedback,https://embed.api.video/vod/vi6aqbh5ikJLOYkqOdO7TvN1#;t=222
vi6aqbh5ikJLOYkqOdO7TvN1_Feedback_2,2,25,27,"Sriram and Kanishka discuss the challenges faced with the stage three identification model and the need for PCPs' interest, highlighting the feedback from the PCPs as a critical factor in their strategy.",Challenges with Stage Three Model,08:24.530,09:14.740,504,554,vi6aqbh5ikJLOYkqOdO7TvN1,Not Feedback,Kanishka Rao is not involved in the interaction as they are merely stating a fact about the deployment of the model without providing or receiving any feedback.,Not Involved,Kanishka Rao is not involved in the interaction as they are merely stating a fact about the deployment of the model without providing or receiving any feedback.,Feedback,https://embed.api.video/vod/vi6aqbh5ikJLOYkqOdO7TvN1#;t=504
vi6aqbh5ikJLOYkqOdO7TvN1_Feedback_3,3,61,61,"Kanishka reflects on the need for a focused approach in their strategy, emphasizing the importance of defining clear goals and capabilities, which aligns with feedback received from Bapa.",Strategic Focus and Feedback,18:27.786,18:27.682,1107,1107,vi6aqbh5ikJLOYkqOdO7TvN1,Not Feedback,The segment discusses strategies and opinions regarding CKD and does not involve Kanishka Rao or any direct feedback.,Not Involved,"Kanishka Rao is not mentioned in this segment of the transcript, and there is no indication of their involvement in the discussion.",Feedback,https://embed.api.video/vod/vi6aqbh5ikJLOYkqOdO7TvN1#;t=1107
vi6aqbh5ikJLOYkqOdO7TvN1_Feedback_4,4,91,91,"Sriram shares his insights on the need for a clear vision and focus, responding to Kanishka's feedback about the company's direction and the importance of anchoring their efforts.",Vision and Direction Discussion,32:42.016,32:41.832,1962,1961,vi6aqbh5ikJLOYkqOdO7TvN1,Constructive Feedback,"Kanishka Rao reflects on the chastisement from Bapa, acknowledging the need to focus on a specific vision and recognizing the importance of actionable steps to improve their approach, indicating he is processing constructive feedback.",Receiving Feedback,"Kanishka Rao is primarily receiving feedback in this case as he reflects on the chastisement from Bapa and acknowledges the need to focus on a specific vision, indicating he is processing feedback rather than giving it.",Feedback,https://embed.api.video/vod/vi6aqbh5ikJLOYkqOdO7TvN1#;t=1962
vi6aqbh5ikJLOYkqOdO7TvN1_Feedback_5,5,97,101,"Kanishka and Sriram discuss the importance of presenting a clear and actionable roadmap to stakeholders, emphasizing the need for immediate deliverables while keeping long-term goals in mind.",Roadmap and Stakeholder Engagement,41:59.391,42:38.040,2519,2558,vi6aqbh5ikJLOYkqOdO7TvN1,Guidance,"Kanishka Rao is providing input and direction on the topic being discussed by stating 'Yeah, and I think. If we have that, it's very quickly putting the boxes in there. This is what we're doing.' This indicates he is helping to clarify the approach and next steps.",Giving Feedback,"Kanishka Rao is giving feedback as he is actively contributing to the discussion by stating 'Yeah, and I think. If we have that, it's very quickly putting the boxes in there. This is what we're doing.' This indicates he is providing input and guidance on the topic being discussed.",Feedback,https://embed.api.video/vod/vi6aqbh5ikJLOYkqOdO7TvN1#;t=2519
vi31gHvd0MMz8FonUstjUyMe_Feedback_1,1,9,13,"Bill expresses concerns about the organization's performance and the interpretation of preliminary data, prompting Kanishka to acknowledge the importance of these concerns and add his own.",Concerns Over Organizational Performance,01:06.060,03:14.470,66,194,vi31gHvd0MMz8FonUstjUyMe,Not Feedback,"Kanishka Rao is facilitating the conversation and prompting Bill Landi to express his concerns, rather than giving or receiving feedback.",Not Involved,"Kanishka Rao is not the primary person giving or receiving feedback in this interaction. Instead, he is facilitating the conversation by prompting Bill Landi to share his concerns.",Feedback,https://embed.api.video/vod/vi31gHvd0MMz8FonUstjUyMe#;t=66
vi31gHvd0MMz8FonUstjUyMe_Feedback_2,2,21,23,"Bill and Kanishka discuss the need for a flexible roadmap that allows for adjustments while still providing direction, highlighting the importance of proactive planning.",Need for Flexible Roadmap,07:18.943,08:52.099,438,532,vi31gHvd0MMz8FonUstjUyMe,Not Feedback,Kanishka Rao is not the primary person giving or receiving feedback in this interaction. The discussion is focused on roadmaps and project management without Kanishka providing or receiving specific feedback.,Not Involved,Kanishka Rao is not the primary person giving or receiving feedback in this interaction. The discussion is focused on roadmaps and project management without Kanishka providing or receiving specific feedback.,Feedback,https://embed.api.video/vod/vi31gHvd0MMz8FonUstjUyMe#;t=438
vi31gHvd0MMz8FonUstjUyMe_Feedback_3,3,26,29,"Kanishka raises concerns about the organization's focus on specific diseases driven by pharma, while Bill agrees and emphasizes the need to prioritize areas that align with their vision.",Focus on Pharma vs. Vision,11:18.783,14:05.076,678,845,vi31gHvd0MMz8FonUstjUyMe,Constructive Feedback,"Kanishka Rao is receiving constructive feedback from Bill Landi, who expresses concerns about the current strategy and its implications, suggesting that the focus on AstraZeneca may not align with the overall goals of the organization.",Receiving Feedback,"Kanishka Rao is receiving feedback in this case as Bill Landi expresses concerns and suggestions regarding the strategy and its implications, which Kanishka is responding to and reflecting on.",Feedback,https://embed.api.video/vod/vi31gHvd0MMz8FonUstjUyMe#;t=678
vi31gHvd0MMz8FonUstjUyMe_Feedback_4,4,32,34,"Kanishka and Bill reflect on the organization's decision-making process, acknowledging that their current approach may not be effectively addressing the needs of health systems or pharma.",Ineffective Decision-Making Process,15:21.510,15:58.600,921,958,vi31gHvd0MMz8FonUstjUyMe,Not Feedback,Kanishka Rao is discussing concerns about the team's decision-making process without directly providing feedback to someone or receiving feedback from someone.,Not Involved,"Kanishka Rao is not primarily giving or receiving feedback in this interaction. Instead, he is discussing concerns about the team's decision-making process without directly providing feedback to someone or receiving feedback from someone.",Feedback,https://embed.api.video/vod/vi31gHvd0MMz8FonUstjUyMe#;t=921
vi31gHvd0MMz8FonUstjUyMe_Feedback_5,5,46,48,"Bill and Kanishka discuss the need for accountability and transparency in their projects, emphasizing that focusing on too many initiatives can hinder progress.",Need for Accountability and Transparency,19:20.958,21:22.143,1160,1282,vi31gHvd0MMz8FonUstjUyMe,Not Feedback,Kanishka Rao is discussing the group's focus and accountability issues without providing or receiving direct feedback. The conversation revolves around strategic planning and transparency rather than specific feedback.,Not Involved,Kanishka Rao is not the primary person giving or receiving feedback in this interaction. The discussion revolves around the group's focus and accountability issues without Kanishka providing direct feedback or receiving it.,Feedback,https://embed.api.video/vod/vi31gHvd0MMz8FonUstjUyMe#;t=1160
vi18qSrl7wIdeYOKuDg7YQBx_Feedback_1,1,4,5,"Kareem expresses the need to validate areas where they can assist, emphasizing the importance of Doctor Harvey's input and the need for an interactive session to engage him effectively.",Engaging Doctor Harvey's Input,07:07.860,08:04.900,427,484,vi18qSrl7wIdeYOKuDg7YQBx,Guidance,"Kanishka Rao is providing specific suggestions on how to structure the presentation slides, indicating they are offering advice and direction to help improve the presentation strategy.",Giving Feedback,"Kanishka Rao is the primary person giving feedback in this case because they directly suggest building up a slide and provide specific guidance on how to present the information, indicating they are actively giving feedback on the presentation strategy.",Feedback,https://embed.api.video/vod/vi18qSrl7wIdeYOKuDg7YQBx#;t=427
vi18qSrl7wIdeYOKuDg7YQBx_Feedback_2,2,8,10,"Kareem and Kanishka discuss the necessity of an executive summary for the presentation, with Kanishka advocating for its inclusion to facilitate the conversation.",Importance of Executive Summary,08:42.386,09:02.826,522,542,vi18qSrl7wIdeYOKuDg7YQBx,Guidance,"Kanishka Rao is providing guidance by suggesting the need for an executive summary to facilitate the conversation, indicating a direction for the team to follow.",Giving Feedback,"Kanishka Rao is giving feedback by stating 'I think we should have one, just to start the conversation so he knows what's up...' which indicates he is providing his perspective and guidance on the need for an executive summary.",Feedback,https://embed.api.video/vod/vi18qSrl7wIdeYOKuDg7YQBx#;t=522
vi18qSrl7wIdeYOKuDg7YQBx_Feedback_3,3,11,13,"Kanishka emphasizes the need for a level-setting slide to clarify their mission and objectives before diving into the agenda, ensuring Doctor Harvey understands their purpose.",Clarifying Mission and Objectives,09:35.986,10:04.196,575,604,vi18qSrl7wIdeYOKuDg7YQBx,Guidance,"Kanishka Rao is providing guidance on how to structure the meeting by suggesting a level-setting slide and emphasizing the importance of communicating the mission and purpose, which helps direct the flow of the meeting.",Giving Feedback,"Kanishka Rao is providing feedback on the meeting structure and context by suggesting a level-setting slide and emphasizing the importance of communicating the mission and purpose of the meeting, indicating he is the primary actor in this interaction.",Feedback,https://embed.api.video/vod/vi18qSrl7wIdeYOKuDg7YQBx#;t=575
vi18qSrl7wIdeYOKuDg7YQBx_Feedback_4,4,17,19,"Kareem and Kanishka discuss the presentation's content, focusing on the areas they will assist with and the importance of highlighting specific scopes of work.",Highlighting Scope of Work,12:40.606,13:00.516,760,780,vi18qSrl7wIdeYOKuDg7YQBx,Guidance,"Kanishka Rao is providing guidance by suggesting a specific action to improve the presentation, stating 'Duplicate the slide and have a second version with the highlighted sort of scope.' This indicates he is offering advice on how to enhance the work.",Giving Feedback,"Kanishka Rao is giving feedback by suggesting a specific action to improve the presentation, stating 'Duplicate the slide and have a second version with the highlighted sort of scope.' This indicates he is providing guidance on how to enhance the work.",Feedback,https://embed.api.video/vod/vi18qSrl7wIdeYOKuDg7YQBx#;t=760
vi18qSrl7wIdeYOKuDg7YQBx_Feedback_5,5,51,53,"Kanishka and Kareem discuss the need to prepare for potential questions regarding their model's cost and effectiveness, ensuring they are ready to address concerns about their services.",Preparing for Cost and Effectiveness Questions,18:05.399,18:23.883,1085,1103,vi18qSrl7wIdeYOKuDg7YQBx,Suggestion,"Kanishka Rao suggests moving a slide ahead in the presentation order, indicating a proposed change without direct criticism.",Giving Feedback,"Kanishka Rao is the primary person giving feedback in this case because they directly state 'the bar I feel strongly about, Kareem, is let's move that slide I proposed ahead of slide 13,' indicating a suggestion for improvement regarding the presentation order.",Feedback,https://embed.api.video/vod/vi18qSrl7wIdeYOKuDg7YQBx#;t=1085
vi3MC0JsaO4n4cA7cYgYzpb4_Feedback_1,1,12,25,"Sriram provides updates on meetings and discusses the importance of moving forward with Temple and MUSC, while Bharat emphasizes the need for careful communication regarding project delays.",Updates on Meetings and Strategy,02:26.420,05:50.953,146,350,vi3MC0JsaO4n4cA7cYgYzpb4,Guidance,"Kanishka Rao suggests scheduling a meeting to discuss how to incentivize the two individuals involved, indicating he is providing guidance on the next steps and emphasizing the urgency of the situation.",Giving Feedback,"Kanishka Rao is giving feedback in this case as he suggests scheduling a meeting to discuss how to incentivize the two individuals involved, indicating he is providing guidance on the next steps and emphasizing the urgency of the situation.",Feedback,https://embed.api.video/vod/vi3MC0JsaO4n4cA7cYgYzpb4#;t=146
vi3MC0JsaO4n4cA7cYgYzpb4_Feedback_2,2,26,30,"Bharat expresses concerns about relying on Tim for timing, while Sriram reassures that the timing is under their control, leading to a discussion on how to address potential issues.",Concerns About Project Timing,05:51.453,06:48.036,351,408,vi3MC0JsaO4n4cA7cYgYzpb4,Not Feedback,"Kanishka Rao is not mentioned in the interaction, and there is no indication of their involvement in the discussion.",Not Involved,"Kanishka Rao is not mentioned in the interaction, and there is no indication of their involvement in the discussion.",Feedback,https://embed.api.video/vod/vi3MC0JsaO4n4cA7cYgYzpb4#;t=351
