id,sequence_id,segment_id_sequence_start,segment_id_sequence_end,summary,title,segment_start_timestamp,segment_end_timestamp,segment_start_timestamp_in_seconds,segment_end_timestamp_in_seconds,video_id,activity_type,activity_reasoning,target_person_type,target_person_reasoning,activity,Moment_url
vi42vP3lFwcaZP6hH82M5wZE_Delegation_1,1,49,51,"""Kanishka delegates the task of reviewing a COPD dashboard to Soham, asking for his feedback on its relevance and necessary adjustments.""",Review of COPD Dashboard,15:59.643,16:54.813,959,1014,vi42vP3lFwcaZP6hH82M5wZE,Guidance with Delegation,"""Kanishka Rao is delegating a task by asking someone to take a quick look at the COPD dashboard and provide comments, while also offering guidance on what to focus on, indicating support along with the assignment.""",Delegating,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Delegation,https://embed.api.video/vod/vi42vP3lFwcaZP6hH82M5wZE#;t=959
vi3MC0JsaO4n4cA7cYgYzpb4_Delegation_3,3,22,24,"""Kanishka suggests scheduling a meeting to discuss incentives for the teams, indicating a delegation of task to Sriram to organize this discussion.""",Scheduling Incentive Discussion,04:47.045,05:24.475,287,324,vi3MC0JsaO4n4cA7cYgYzpb4,Guidance with Delegation,"""Kanishka Rao is suggesting a meeting to discuss tasks and priorities, indicating he is delegating the responsibility to Sriram Krishnan to handle the calendar and the conversation about incentives, while also providing guidance on the urgency and priorities.""",Delegating,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Delegation,https://embed.api.video/vod/vi3MC0JsaO4n4cA7cYgYzpb4#;t=287
vi1GPAuvhakg74TUpNoMMUvc_Delegation_4,4,190,190,"""Kanishka delegates the responsibility of assessing the impact of rescheduling to Bill, emphasizing the need for relationship management.""",Rescheduling Impact Assessment,01:01:08.729,01:01:20.809,3668,3680,vi1GPAuvhakg74TUpNoMMUvc,Task Assignment,"""Kanishka Rao is delegating a task to Bill by asking him to take point on asking a question and making a plan, which clearly assigns a specific responsibility.""",Delegating,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Delegation,https://embed.api.video/vod/vi1GPAuvhakg74TUpNoMMUvc#;t=3668
vi18qSrl7wIdeYOKuDg7YQBx_Delegation_1,1,3,4,"""Kareem outlines the meeting's goal and suggests areas to focus on, while Kanishka agrees and delegates the task of building slides to him, emphasizing the importance of pushing the lung program.""",Meeting Goals and Slide Preparation,06:00.690,08:04.900,360,484,vi18qSrl7wIdeYOKuDg7YQBx,Guidance with Delegation,"""Kanishka Rao is delegating the task of building slides while providing specific suggestions on content and structure, indicating support for the person responsible for the task.""",Delegating,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Delegation,https://embed.api.video/vod/vi18qSrl7wIdeYOKuDg7YQBx#;t=360
vi6aqbh5ikJLOYkqOdO7TvN1_Delegation_1,1,14,16,"""Sriram delegates the task of reviewing a demo to Kanishka and suggests he should schedule a meeting with Madeline to discuss it further.""",Delegation of Demo Review,03:02.222,03:59.210,182,239,vi6aqbh5ikJLOYkqOdO7TvN1,Task Assignment,"""Kanishka Rao is delegating a task by asking Sriram Krishnan if he can request Madeline to schedule time on his calendar for a review.""",Delegating,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Delegation,https://embed.api.video/vod/vi6aqbh5ikJLOYkqOdO7TvN1#;t=182
vi31gHvd0MMz8FonUstjUyMe_Delegation_2,2,67,67,"""Kanishka delegates the task of discussing involvement and accountability with Bharat to Bill, emphasizing the need for a focused approach to their work.""",Delegating Accountability Discussion,30:58.950,31:30.072,1858,1890,vi31gHvd0MMz8FonUstjUyMe,Guidance with Delegation,"""Kanishka Rao is delegating the task of thinking and having a conversation about involvement and sharing ideas to another person, as indicated by phrases like 'you can think on those things' and 'find a way to have a conversation with them,' while also providing guidance on the importance of the task.""",Delegating,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Delegation,https://embed.api.video/vod/vi31gHvd0MMz8FonUstjUyMe#;t=1858
vi7ITVcbI2cXqYj2CnwKvSXg_Delegation_1,1,3,4,"""Kanishka delegates the task of providing updates on the AZ carve out to Bharat, asking him to work on the necessary math and analysis for the project by Sunday.""",Delegation of AZ Carve Out Analysis,01:00.538,02:34.760,60,154,vi7ITVcbI2cXqYj2CnwKvSXg,Task Assignment,"""Kanishka Rao is delegating a task to Bart by asking if he can have the math done by Sunday, indicating a clear assignment of responsibility.""",Delegating,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Delegation,https://embed.api.video/vod/vi7ITVcbI2cXqYj2CnwKvSXg#;t=60
vi7ITVcbI2cXqYj2CnwKvSXg_Delegation_3,3,32,32,"""Kanishka assigns Bharat to send the model impacts and asks for Sriram's thoughts on the pitch strategy, indicating a clear delegation of tasks.""",Task Assignment for Pitch Strategy,07:03.150,07:31.860,423,451,vi7ITVcbI2cXqYj2CnwKvSXg,Task Assignment,"""Kanishka Rao is delegating by saying, 'Barth, you're going to send me the model of whatever impacts we believe we can have,' which clearly assigns a task to Barth.""",Delegating,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Delegation,https://embed.api.video/vod/vi7ITVcbI2cXqYj2CnwKvSXg#;t=423
vi5lUKF5SojsvO2eH5MdSXVs_Delegation_1,1,153,155,"""Kanishka delegates the task of drafting a consulting pitch and blurb to Kareem, indicating that they will problem-solve it together in the next meeting.""",Delegation of Consulting Pitch Task,01:04:00.623,01:05:19.973,3840,3919,vi5lUKF5SojsvO2eH5MdSXVs,Task Assignment,"""Kanishka Rao is delegating the task of taking point on the consulting pitch and blurb to another participant, indicating this by saying 'Why don't you take point on this consulting pitch and blurb.'""",Delegating,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Delegation,https://embed.api.video/vod/vi5lUKF5SojsvO2eH5MdSXVs#;t=3840
vi5lUKF5SojsvO2eH5MdSXVs_Delegation_2,2,188,212,"""Kareem and Kanishka discuss the deliverables for their upcoming conference, with Kanishka assigning Kareem to focus on creating a one-pager, a services-focused deck, and a landing page, emphasizing the need for a palm-focused approach.""",Task Assignment for Conference Preparation,01:22:04.176,01:28:42.638,4924,5322,vi5lUKF5SojsvO2eH5MdSXVs,Task Assignment,"""Kanishka Rao is delegating tasks to Kareem Malek by saying, 'Can you actually try to draft that based off all the info that you have of, like, here's what I think are the most compelling data points,' which clearly assigns a specific task.""",Delegating,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Delegation,https://embed.api.video/vod/vi5lUKF5SojsvO2eH5MdSXVs#;t=4924
vi5lUKF5SojsvO2eH5MdSXVs_Delegation_3,3,204,210,"""Kanishka suggests that Maya should reach out to independent pulmonology groups to gather insights, delegating the task of discovery to her.""",Delegation of Discovery Task to Maya,01:26:15.676,01:28:24.766,5175,5304,vi5lUKF5SojsvO2eH5MdSXVs,Receiving Delegation,"""Kanishka Rao is being delegated a task as Kareem suggests having Maya do the discovery work, indicating that Kanishka is expected to oversee or support this task.""",Receiving,"""Kanishka Rao is actively contributing to the decision-making process by analyzing the sales strategy, discussing challenges, and proposing solutions related to the service versus technology sales.""",Delegation,https://embed.api.video/vod/vi5lUKF5SojsvO2eH5MdSXVs#;t=5175
